ID	Content	A	B	C	D
1874	He was found guilty  __ murder and condemned to death.	for	of	with	to
1875	He is not only  indifferent __ other people; he is often extremely rude to them as well.	at	to	on	of
1876	__ at the  party!	Get fun	Make fun	Have fun	Do  fun
1877	All people experience good as well as bad things __.	in  life	in lives	in lifes	in lifetime
1878	I  can't remember when all those books __.	have been  bought	had been bought	will have been bought	are being  bought
1879	"If we went there, we __ some of the museums."	would  visit	will visit	visit	visited
1880	I find it  difficult sometimes to __ between green and red.	disseminate	discriminate	classify	categorize
1881	The new factory must be finished __ as the  profitability of the company depends on it.	on time	in  times	at time	for a time
1882	The colour of the handle  does not __ so long as it is the right size.	worry	affect	concern	matter
1883	We went to the railway  station to __ our friends __.	see...off	see...out	set...out	tell...goodbye
1884	He shouldn't be  allowed to play in the club. He's not a __.	belong	member	partner	representative
1885	After a day of  housework I am totally __.	weak	dull	strained	exhausted
1886	There  is no reason to __ his honesty; he is absolutely sincere.	search	doubt	inquire	ask
1887	The constant __ on their  hands causes injury.	grip	pressure	hold	movement
1888	The  League of Nations was set __ after the First World War.	up	off	out	down
1889	All good things must come to  __ end.	one	the	their	an
1890	The evening  performance had to be cancelled __ of the illness of the leading actress.	because	due	owing	according
1891	Buses and  trains are the most important forms of public __ in this country.	traffic	travel	transfer	transport
1892	"You  should have told me you were married, __?"	didn't  you	shouldn't you	weren't you	isn't it
1893	The  books I borrowed are overdue. I'll have to take them back to the __.	bible	bookshop	library	magazine
1894	The  actor enjoys giving __ of poems by his favourite poets.	recitations	rehearsals	repetitions	pronouncements
1895	"The phone is  ringing. Could you __, please?"	pick it  up	take it up	hang it up	hang it down
1896	"The pilot said that with one engine of the plane out of action, it had been  __ over the Channel."	touch and go	start and return	touch and  break	fly and sit
1897	All the travel arrangements __  before we received a letter from him.	were being  made	had been made	have been made	are being  made
1898	The last meeting of our section __ on 15th September.	has been  held	was held	had been held	held
1899	You are  still working on your essay. I think you __ it by six o'clock.	should have  finished	have been finishing	have already finished	must have  finished
1900	sharp practices = __.	"reality as it  really is, not embellished to look better"	unprofitable business  transactions	dishonest methods in business	aggressive  marketing techniques
1901	"It is usually better not to __ things, in  case they are not returned."	lend	offer	borrow	lose
1902	It's six  years now since the Socialists came to __ in that country.	power	force	control	command
1903	He was killed in a car  __.	blow	crash	flash	hit
1904	It's nearly  two years since I last __ to a dentist.	have been  going	have gone	went	had gone
1905	The civil servant  __ his post because he disagreed with the Minister.	gave in	gave  out	gave off	gave up
1906	I don't know where he lives  now; he left this area many years __.	before	for	away	ago
1907	There was a sudden loud  __ which made everyone jump.	bang	strike	split	stroke
1908	The bill  came to over a thousand dollars __.	at all	in  all	to all	of all
1909	The junior Minister's  remarks on television about the strike __ the Prime Minister so much that  he was sacked.	disordered	disliked	disagreed	displeased
1910	The  police have issued a full __ of the murderer.	notice	information	detail	description
1911	A  lot of people find __ art very difficult to understand.	actual	current	contemporary	present
1912	He  was __ of understanding anything which involved numbers.	unable	useless	impossible	incapable
1913	"If  there's __ for complaint, please inform the manager."	cause	fear	intention	opportunity
1914	There was __ enough cake for all of us to have a very small slice.	just	quite	really	hardly
1915	"He was  bitten by a mosquito, but he made things worse by __ the bite all the  time."	stroking	scratching	rubbing	scraping
1916	Contrary __ my expectations there was no need to  be uneasy about the results of the match.	against	from	to	for
1917	She prides herself  __ her clean house.	with	on	of	in
1918	Your  conclusions are not consistent __ the facts.	with	of	to	against
1919	The coin was too  small __ in the grass.	for John to see it	for John can  see it	for John not to see it	as for John see it
1920	This  journal __ in Poland for more than twelve years by now.	is  published	was published	is being published	has been  published
1921	There are a lot of __ beaches on the South  Pacific islands.	abandoned	alone	left	deserted
1922	-  Cecilia: I feel another dizzy spell coming on. - Margery: I do wish __ get  round to seeing a doctor.	you are going to	you will agree to	you would	you  will
1923	He had to go to the bank to __ some money for his  holiday.	pay up	pay back	draw out	draw in
1924	When we  came back from holiday our suitcases were __ by the Customs Officers.	guarded	tested	corrected	examined
1925	__ you get to the Red Lion pub you will have to stop and ask for  directions.	While	Where	When	There
1926	"Your  husband is very rude. If I were you, I wouldn't stand __ it."	by	to	at	for
1927	My brother had his camera  __ from his car in the office car-park.	robbed	missed	lost	stolen
1928	The two brothers don't get  __ with each other very well; they're always fighting.	up	by	over	on
1929	Teresa's father began to lose  his __ when he was in his sixties.	view	sight	look	vision
1930	"When he spoke over the  telephone, his voice was so __ that I could hardly hear him."	faint	dim	dull	unnoticeable
1931	I'll see  __ the cooking tonight.	at	to	on	for
1932	At what time will you call __ me?	for	at	to	with
1933	I can assure you  __ my support.	on	of	from	at
1934	She wanted  to borrow the record from me but she was shy __ asking.	of	with	to	for
1935	He is a mechanic and  his wife works __.	domestically	as a domestic	as  domestic	domestic
1936	"My parents moved to California when I was 8.  I really didn't want us to move there, but I was a child, I had __."	no say in the  matter	no say on the matter	no say about the  matter	no say in matter
1937	"If I had been to that meeting, I  __ about it."	would have spoken	had spoken	will speak	will have  spoken
1938	Come to see me at five o'clock. I __ ready with my  work by that time.	should have been	would have been	have been	had  been
1939	As pretty as __ = very pretty.	a fair haired  girl	a picture	a swan	a white dove
1940	She was __ out of 115 applicants for the position of Managing Director.	short-changed	short-listed	short-sighted	short- handed
1941	Her __ is getting worse and worse. She  seems too afraid to speak to anyone.	happiness	tiredness	weakness	shyness
1942	The doctor gave the patient  __ examination to discover the cause of his collapse.	a thorough	a  universal	an exact	a whole
1943	That dress looks lovely:  red really __ you!	likes	suits	fits	pleases
1944	I  __ the bell-push several times but there was no-one at home.	pulled	pressed	squeezed	knocked
1945	"If you eat a lot of  chocolate, your teeth will begin to __."	decay	collapse	fall	drop
1946	I'm afraid that it won't be  possible __.	that I will come	that I come	for my  coming	for me to come
1947	The campers put their tent __ in a  field.	out	in	on	up
1948	I disagree  __ you about that film you praised so much.	from	with	to	for
1949	We were so busy we had to  __ going on holiday for a month.	put out	put  away	put down	put off
1950	"They __ understand  the teacher, as he spoke too fast."	wouldn't	shouldn't	can't	couldn't
1951	I don't think she could ever give __  smoking. She's a real addict.	up	in to	away	out
1952	__ scientists have observed increased pollution in the  water supply.	Late	Later	Latter	Lately
1953	Do you  approve __ hunting?	on	of	in	to
1954	She  preferred to wait __ you.	to	on	at	for
1955	I refuse to comment __ his work.	about	on	in	of
1956	Their walking-tour  through Lapland never came __.	on	off	out	round
1957	I __ for  that job before I passed my final exams at the university.	applied	have applied	had applied	applies
1958	"As  James had scored distinctions in Chemistry and Biology in his Higher School  Certificate Examination, he hoped to __ one of these subjects at  university."	abandon	discover	specialize  in	take part in
1959	"I'm really angry with Sue. The next time  I see her, I'll give her an __."	rip	earful	feathers	bend
1960	Many  years ago in a faraway land there lived __ wise old man.	the	one	a	some
1961	Have I __ you about how Mary is getting on  at college?	said	explained	answered	told
